landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2016-1585,Medium,,,2021-05-03T01:13:06.673411128Z,In all versions of AppArmor mount rules are accidentally widened when compiled.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8395,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to an invalid write of size 8 because of missing a malloc() return-value check to see if memory had actually been allocated in the _bfd_generic_get_section_contents function. This vulnerability causes programs that conduct an analysis of binary programs using the libbfd library, such as objcopy, to crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2021-3426,Low,,,2021-05-03T01:13:06.673411128Z,No description is available for this CVE.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8396,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to an invalid read of size 1 because the existing reloc offset range tests didn't catch small negative offsets less than the size of the reloc field. This vulnerability causes programs that conduct an analysis of binary programs using the libbfd library, such as objdump, to crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8397,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to an invalid read of size 1 and an invalid write of size 1 during processing of a corrupt binary containing reloc(s) with negative addresses. This vulnerability causes programs that conduct an analysis of binary programs using the libbfd library, such as objdump, to crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8398,Low,,,2021-05-03T01:13:06.673411128Z,"dwarf.c in GNU Binutils 2.28 is vulnerable to an invalid read of size 1 during dumping of debug information from a corrupt binary. This vulnerability causes programs that conduct an analysis of binary programs, such as objdump and readelf, to crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8421,Low,,,2021-05-03T01:13:06.673411128Z,"The function coff_set_alignment_hook in coffcode.h in Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has a memory leak vulnerability which can cause memory exhaustion in objdump via a crafted PE file. Additional validation in dump_relocs_in_section in objdump.c can resolve this."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9038,Low,,,2021-05-03T01:13:06.673411128Z,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to the byte_get_little_endian function in elfcomm.c, the get_unwind_section_word function in readelf.c, and ARM unwind information that contains invalid word offsets."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9039,Low,,,2021-05-03T01:13:06.673411128Z,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (memory consumption) via a crafted ELF file with many program headers, related to the get_program_headers function in readelf.c."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9040,Low,,,2021-05-03T01:13:06.673411128Z,"GNU Binutils 2017-04-03 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash), related to the process_mips_specific function in readelf.c, via a crafted ELF file that triggers a large memory-allocation attempt."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9041,Low,,,2021-05-03T01:13:06.673411128Z,"GNU Binutils 2.28 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to MIPS GOT mishandling in the process_mips_specific function in readelf.c."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9042,Low,,,2021-05-03T01:13:06.673411128Z,"readelf.c in GNU Binutils 2017-04-12 has a ""cannot be represented in type long"" issue, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9044,Low,,,2021-05-03T01:13:06.673411128Z,The print_symbol_for_build_attribute function in readelf.c in GNU Binutils 2017-04-12 allows remote attackers to cause a denial of service (invalid read and SEGV) via a crafted ELF file.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9742,Low,,,2021-05-03T01:13:06.673411128Z,"The score_opcodes function in opcodes/score7-dis.c in GNU Binutils 2.28 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9743,Low,,,2021-05-03T01:13:06.673411128Z,"The print_insn_score32 function in opcodes/score7-dis.c:552 in GNU Binutils 2.28 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9744,Low,,,2021-05-03T01:13:06.673411128Z,"The sh_elf_set_mach_from_flags function in bfd/elf32-sh.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9745,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_vms_slurp_etir function in bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file, as demonstrated by mishandling of this file during ""objdump -D"" execution."
